city,timestamp,latitude,longitude,temperature_c,humidity,pressure_mb,wind_speed_kph,weather_condition,precipitation_mm,alert_level,alert_type,alert_description,temperature_c_normalized,risk_zone,risk_level,priority,ambulances,shelters,rescue_teams
Los Angeles,2025-08-01 08:03,34.0522,-118.2428,-1.1999013962377538,0.81,1018.0,4.7,Mist,0.0,,,,-1.1999013962377543,2,High,3,14,5,8
New York,2025-08-01 11:03,40.7142,-74.0064,-1.3234206576151692,0.78,1022.0,22.3,Overcast,0.0,,,,-1.3234206576151697,1,Medium,2,9,4,5
Mumbai,2025-08-01 20:34,18.975,72.826,0.6940606115492894,0.84,1006.0,21.6,Mist,0.79,,,,0.6940606115492894,1,Medium,2,9,4,5
Miami,2025-08-01 11:03,25.7739,-80.1939,1.3116569184363684,0.68,1021.0,10.1,Partly cloudy,0.0,,,,1.3116569184363684,0,Low,1,5,2,3
Pune,2025-08-01 20:34,18.5333,73.8667,-0.2940934794700374,0.85,1008.0,12.6,Patchy rain nearby,0.01,,,,-0.2940934794700376,0,Low,1,5,2,3
Bangalore,2025-08-01 20:32,12.9833,77.5833,0.0970508482251124,0.74,1013.0,10.4,Partly cloudy,0.17,,,,0.09705084822511227,0,Low,1,5,2,3
Hyderabad,2025-08-01 20:33,17.3753,78.4744,0.7146471551121916,0.62,1009.0,11.5,Partly cloudy,0.0,,,,0.7146471551121916,0,Low,1,5,2,3
